food,Energy (kcal),Fat (g),Saturated fat (g),Carbohydrates (g),Sugars (g),Proteins (g),nutriscore
Sliced Mushrooms,0.0,0.0,0.0,50.0,0.0,50.0,-0.03
Italian Sausage Crumbles,777.78,55.56,22.22,0.0,0.0,44.44,2.04
Cinnamon Raisin Bagel,407.89,2.63,0.0,82.89,9.21,14.47,2.635
Chopped Green Bell Pepper,0.0,0.0,0.0,100.0,100.0,0.0,2.635333333333333
Fat Free Cottage Cheese,416.67,0.0,0.0,33.33,16.67,66.67,2.675
Everything Bagel,405.41,2.7,0.0,82.43,9.46,14.86,2.685
1% Cottage Cheese,421.05,5.26,0.0,21.05,21.05,73.68,2.735
Egg Whites,428.57,0.0,0.0,0.0,0.0,100.0,2.949
Hard Boiled Eggs,583.33,41.67,12.5,4.17,0.0,54.17,3.03
Scrambled Eggs,666.67,50.0,13.33,3.33,0.0,46.67,3.06
Eggs,642.86,42.86,14.29,0.0,0.0,57.14,3.1
Diced Bacon,692.31,53.85,15.38,0.0,0.0,46.15,3.25
"Ham, Egg, Cheese Breakfast Pizza",500.0,19.7,9.09,53.03,4.55,27.27,3.305
Free Range Eggs,666.67,50.0,12.5,0.0,0.0,50.0,3.38
Meatless Sausage Link,466.67,20.0,0.0,26.67,0.0,53.33,3.585
Cheese Pizza,526.32,26.32,11.84,47.37,2.63,26.32,3.6
Soy Milk,472.73,16.36,0.0,54.55,36.36,29.09,3.795
Skim Milk,400.0,0.0,0.0,60.0,60.0,40.0,3.855
2% Milk,480.0,20.0,12.0,48.0,48.0,32.0,4.085
Low Fat Vanilla Yogurt,415.09,1.89,0.0,83.02,60.38,15.09,4.095
Chicken Kielbasa Sausage,705.88,58.82,14.71,0.0,0.0,41.18,4.1
Sour Cream and Chive Scrambled Eggs,700.0,60.0,30.0,2.5,2.5,37.5,4.185
"Peanut Butter, .75 oz, Jif",619.05,52.38,9.52,23.81,9.52,23.81,4.305
Creamy Peanut Butter,625.0,50.0,9.38,25.0,12.5,25.0,4.335
Sauteed Spinach,500.0,40.0,0.0,40.0,0.0,20.0,5.005
Low Fat Strawberry Yogurt,400.0,5.45,3.64,76.36,76.36,18.18,5.4
Low Fat Chocolate Milk,432.43,8.11,4.05,67.57,67.57,24.32,5.705
Strawberry Cream Cheese,714.29,57.14,35.71,28.57,21.43,14.29,6.181333333333333
Cheerios,400.0,8.0,0.0,80.0,4.0,12.0,8.315
Grapefruit,350.0,0.0,0.0,90.0,60.0,10.0,8.82
Plain Bagel,422.54,2.82,0.0,84.51,5.63,12.68,9.61
Dried Cranberries,366.67,0.0,0.0,100.0,86.67,0.0,9.6175
old fashioned oatmeal,437.5,6.25,0.0,81.25,0.0,12.5,9.66
Watermelon,375.0,0.0,0.0,91.67,75.0,8.33,9.67
Orange Marmalade,357.14,0.0,0.0,100.0,85.71,0.0,9.7375
Red Seedless Grapes,357.14,0.0,0.0,100.0,85.71,0.0,9.7375
Pancakes,441.56,3.9,0.0,85.71,18.18,10.39,9.85
Honey,352.94,0.0,0.0,100.0,100.0,0.0,10.115
Mini Croissant,523.81,23.81,14.29,66.67,9.52,9.52,10.122
Cubed Pineapple,400.0,0.0,0.0,100.0,80.0,0.0,10.3175
Lucky Charms,405.8,4.35,0.0,86.96,34.78,8.7,10.36
Total Raisin Bran,367.35,2.04,0.0,91.84,36.73,6.12,10.385
Syrup,375.0,0.0,0.0,100.0,33.33,0.0,10.385
Cinnamon Sugar,392.86,0.0,0.0,100.0,89.29,0.0,10.4875
Banana,375.0,0.0,0.0,95.83,50.0,4.17,10.5
 Diced Onions,375.0,0.0,0.0,100.0,50.0,0.0,10.5
Brown Sugar Topping,384.62,0.0,0.0,100.0,99.52,0.0,10.615
Unsalted Butter,833.33,100.0,58.33,0.0,0.0,0.0,10.636666666666667
Butter PC,875.0,100.0,56.25,0.0,0.0,0.0,10.671666666666667
Cream Cheese,714.29,71.43,42.86,14.29,14.29,14.29,10.708
Waffle Batter,433.57,6.29,0.7,85.31,8.39,8.39,10.795
Apple,388.89,0.0,0.0,100.0,77.78,0.0,10.8275
Granny Smith Apple,388.89,0.0,0.0,100.0,77.78,0.0,10.8275
Orange,400.0,0.0,0.0,93.33,73.33,6.67,11.0
Grape Jelly,400.0,0.0,0.0,100.0,73.33,0.0,11.0
"Jelly, Assorted",400.0,0.0,0.0,100.0,70.0,0.0,11.0325
Shredded Sharp American Cheese,833.33,66.67,50.0,0.0,0.0,33.33,11.043333333333333
Rice Chex,431.37,1.96,0.0,90.2,7.84,7.84,11.205
Cinnamon Twist ,413.79,10.34,3.45,82.76,34.48,6.9,11.55
Cocoa Puffs,411.76,5.88,0.0,88.24,38.24,5.88,11.55
Cinnamon Toast Crunch,447.37,10.53,1.32,86.84,31.58,2.63,11.67
Cubed Cantaloupe,500.0,0.0,0.0,100.0,100.0,0.0,11.677999999999999
Diced Red Bell Peppers,500.0,0.0,0.0,100.0,100.0,0.0,11.677999999999999
Strawberry Jelly Preserves,428.57,0.0,0.0,100.0,71.43,0.0,11.7675
Thyme Roasted Potatoes,488.89,15.56,0.0,75.56,4.44,8.89,11.997
Oreo Crumbles,538.46,23.08,0.0,76.92,46.15,0.0,12.112
Blueberry Muffin,473.68,13.16,5.92,82.89,43.42,3.95,12.175
Rice Milk,458.33,8.33,0.0,87.5,50.0,4.17,12.285
Granola,488.89,20.0,2.22,73.33,42.22,6.67,12.292
Semi Sweet Chocolate Chips,500.0,30.0,20.0,70.0,60.0,0.0,12.332
Nutella,526.32,31.58,26.32,63.16,52.63,5.26,12.452
"Margarine, Smart Balance, 5g",1000.0,100.0,33.33,0.0,0.0,0.0,12.520333333333335
Smart Balance Margarine,900.0,100.0,20.0,0.0,0.0,0.0,12.522
Mild Picante Salsa,500.0,0.0,0.0,100.0,50.0,0.0,13.037
Diced Tomatoes,500.0,0.0,0.0,100.0,50.0,0.0,13.037
Shredded Coconut,600.0,40.0,40.0,60.0,60.0,0.0,13.128
